"days2100","period_type","gtin_classifier_id","gtin_cluster_id","sid_classifier_id","sid_cluster_id","cnt","price","selling_distribution"
-28642,m,1,1479,2,4,108,1095926.0,7.9491
-28642,m,1,1479,2,81,16,83300.0,1.0118
-28642,m,1,1499,2,62,4,26765.0,0.3079
-28642,m,1,1501,2,46,6,53067.0,0.6000
-28642,m,1,1509,2,62,9,47330.0,0.3849
-28642,m,1,1511,2,57,3,22202.0,0.5199
-28642,m,1,1513,2,59,8,80570.0,1.3769
-28642,m,1,1521,2,37,434,3623580.0,6.4297
-28642,m,1,1543,2,82,93,648181.0,11.5741
-28642,m,1,1545,2,31,5340,30584272,87.4003
-28642,m,1,1547,2,58,10,14000.0,0.7003
-28642,m,1,1549,2,55,55,329634.0,6.6362
-28642,m,1,1549,2,81,9,30000.0,0.6745
-28642,m,1,1550,2,2,367,3185780.0,9.0297
-28642,m,1,1557,2,63,17,93769.0,1.5267
-28642,m,1,1568,2,22,40,294224.0,5.5556
-28642,m,1,1572,2,43,8,65500.0,1.1799
-28642,m,1,1577,2,3,12,35425.0,0.5362
-28642,m,1,1577,2,15,75,379550.0,7.7670
-28642,m,1,1580,2,63,84,289731.0,7.6336
-28642,m,1,1581,2,1,9,40159.0,0.3033
-28642,m,1,1582,2,2,188,1014451.0,3.3994
-28642,m,1,1582,2,79,70,485265.0,2.5545
-28642,m,1,1598,2,79,25,333779.0,1.2461
-28642,m,1,1599,2,34,48,98370.0,3.3510
-28642,m,1,1610,2,80,151,1335052.0,36.2500
-28642,m,1,1614,2,76,41,285494.0,9.2219
-28642,m,1,1615,2,74,11,109924.0,2.7864
-28642,m,1,1622,2,41,14,109571.0,1.5850
-28642,m,1,1625,2,69,6,53319.0,1.2285
-28642,m,1,1626,2,48,80,652679.0,3.6851
-28642,m,1,1628,2,48,28,174326.0,1.0609
-28642,m,1,1630,2,79,19,267360.0,0.9969
-28642,m,1,1631,2,62,45,327128.0,2.7714
-28642,m,1,1635,2,56,644,7745286.0,57.1429
-28642,m,1,1637,2,43,109,1133000.0,20.9440
-28642,m,1,1637,2,53,165,1742652.0,24.4851
-28642,m,1,1637,2,80,20,152650.0,11.2500
-28642,m,1,1643,2,31,37,300560.0,4.3062
-28642,m,1,1646,2,27,5,35137.0,1.7544
-28642,m,1,1647,2,19,24,205019.0,2.1845
-28642,m,1,1648,2,10,12,91257.0,2.9024
-28642,m,1,1648,2,48,89,591945.0,3.6293
-28642,m,1,1649,2,43,12,93925.0,2.6549
-28642,m,1,1655,2,76,17,204714.0,2.3055
-28642,m,1,1670,2,79,229,1401669.0,10.6542
-28642,m,1,1676,2,42,913,5059862.0,36.7133
-28642,m,1,1677,2,13,81,1312123.0,7.3574
-28642,m,1,1680,2,23,71,430072.0,9.6457
-28642,m,1,1680,2,47,26,154507.0,7.1698
-28642,m,1,1685,2,48,172,1302282.0,7.5935
-28642,m,1,1688,2,15,67,482522.0,9.1262
-28642,m,1,1691,2,20,7,56190.0,7.1429
-28642,m,1,1692,2,57,78,594583.0,9.8787
-28642,m,1,1692,2,80,5,43800.0,3.7500
-28642,m,1,1697,2,61,97,758862.0,29.6970
-28642,m,1,1699,2,29,159,1144341.0,7.8208
-28642,m,1,1701,2,66,34,3443053.0,9.5808
-28642,m,1,1704,2,28,372,4446616.0,23.0673
-28642,m,1,1706,2,56,16,480070.0,2.9478
-28642,m,1,1711,2,58,6,272128.0,0.7003
-28642,m,1,1712,2,70,56,2519439.0,13.0112
-28642,m,1,1716,2,36,11,227250.0,0.2782
-28642,m,1,1722,2,79,1475,14903494,11.2150
-28642,m,1,1723,2,20,8041,1503842.0,72.6190
-28642,m,1,1723,2,46,36853,13980114,72.6000
-28642,m,1,1723,2,76,5718,1493767.0,41.7867
-28642,m,1,1723,2,79,20972,6069491.0,35.7009
-28642,m,1,1729,2,37,2200,4277993.0,30.2405
-28642,m,1,1732,2,17,2846,12539998,22.5000
-28642,m,1,1733,2,8,6,66310.0,2.3529
-28642,m,1,1734,2,14,35,168072.0,1.4943
-28642,m,1,1734,2,26,24,116780.0,1.9608
-28642,m,1,1736,2,41,1088,5686403.0,11.3833
-28642,m,1,1736,2,62,2500,13156177,14.6266
-28642,m,1,1737,2,2,90026,95939936,64.6601
-28642,m,1,1737,2,56,10911,15260391,70.2948
-28642,m,1,1744,2,75,3620,1112730.0,36.9338
-28642,m,1,1745,2,63,392,183237.0,14.2494
-28642,m,1,1752,2,62,94,3048094.0,4.1570
-28642,m,1,1753,2,66,723,8596662.0,70.0599
-28642,m,1,1755,2,59,263,8409209.0,28.2272
-28642,m,1,1758,2,50,1254,5736579.0,38.3300
-28642,m,1,1758,2,82,206,839504.0,24.0741
-28642,m,1,1759,2,30,205,6921051.0,31.7507
-28642,m,1,1768,2,5,652,418774.0,11.3481
-28642,m,1,1768,2,25,156,45640.0,1.2725
-28642,m,1,1772,2,48,10155,195681552,71.7476
-28642,m,1,1775,2,65,85,713747.0,4.7700
-28642,m,1,1783,2,31,4526,12623370,38.5965
-28642,m,1,1785,2,69,159,15010368,19.6560
-28642,m,1,1793,2,2,820,15309142,15.3329
-28642,m,1,1795,2,62,579,10286412,23.6336
-28642,m,1,1796,2,51,19,608560.0,7.3620
-28642,m,1,1802,2,44,73,180368.0,46.6667
-28642,m,1,1803,2,42,9,219192.0,0.8159
-28642,m,1,1804,2,68,44,576850.0,8.7379
-28642,m,1,1804,2,85,37,416288.0,6.1489
-28642,m,1,1807,2,24,1609,32146612,86.6667
-28642,m,1,1807,2,71,2243,31524332,96.5517
-28642,m,1,1808,2,46,545,12300222,34.2000
-28642,m,1,1812,2,7,15,672942.0,26.9231
-28642,m,1,1813,2,31,93,1517687.0,9.0909
-28642,m,1,1814,2,16,1186,23529036,46.6393
-28642,m,1,1824,2,80,286,1579860.0,17.5000
-28642,m,1,1831,2,4,31815,910284928,96.6614
-28642,m,1,1831,2,46,43583,1321693312,92.4000
-28642,m,1,1838,2,36,14,448380.0,0.2782
-28642,m,1,1841,2,39,68,504489.0,15.4135
-28642,m,1,1852,2,33,293,1336395.0,21.2824
-28642,m,1,1852,2,46,169,725491.0,7.8000
-28642,m,1,1854,2,83,18,295250.0,14.8936
-28642,m,1,1855,2,36,2123,57024236,29.8685
